GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene symbol
FBgn0001224	583.230032924849	1.34216708732551	0.128414941386119	10.4517984654906	1.43772612245321e-25	3.27309702245862e-23	chr3L	9381881	9382765	+	protein_coding	Hsp23
FBgn0040827	213.809415969489	-1.65963297477423	0.159894461243245	-10.3795526240866	3.07211412065309e-25	6.81457929686406e-23	chr3L	9096876	9097494	+	protein_coding	CG13315
FBgn0037468	2974.70678827496	0.909529932150915	0.0879085327540399	10.3463213826546	4.34875175104824e-25	9.40526284957958e-23	chr3R	7074858	7077981	+	protein_coding	CG1943
FBgn0261596	16579.9400664631	-1.04359181625594	0.101500042889853	-10.2816884263629	8.52213919568687e-25	1.79817137028993e-22	chr2R	22640525	22641419	-	protein_coding	RpS24
FBgn0283437	5777.06499152111	1.36812627418597	0.133482935698654	10.2494469950422	1.19022536153482e-24	2.4515808577709e-22	chr2R	17887219	17889973	-	protein_coding	PPO1
FBgn0037290	69.6307607595817	2.12228559247284	0.211628008331868	10.0283776670277	1.14380450585335e-23	2.30117506514821e-21	chr3R	4965444	4968485	+	protein_coding	CG1124
FBgn0016715	138.411376147527	-1.8316243960673	0.182685835407271	-10.0260887330644	1.17062244095365e-23	2.30160334924773e-21	chr3L	605164	606569	-	protein_coding	Reg-2
FBgn0039109	456.001011959663	-1.2422503255873	0.124355835061453	-9.98948159508092	1.69465673972127e-23	3.25788343451749e-21	chr3R	23723330	23731499	+	protein_coding	CG10365
FBgn0063649	584.060230873279	-1.14429138724126	0.119492368876291	-9.5762716732642	1.00611418017178e-21	1.8921508201448e-19	chr3R	16154981	16171766	+	protein_coding	CG6006
FBgn0050147	970.712398694494	-0.938934018964667	0.0982053470135888	-9.56092562693909	1.16708157798029e-21	2.14817504917181e-19	chr2R	20606880	20618217	-	protein_coding	Hil
FBgn0038149	1018.14231283321	1.00594332464692	0.105242768977677	9.55831297882602	1.19691785518095e-21	2.15719507607716e-19	chr3R	13398525	13401862	-	protein_coding	GILT1
FBgn0032405	78.4903385256246	1.87424079586335	0.199346046241881	9.40194616947255	5.35630166239097e-21	9.45660524109066e-19	chr2L	12063456	12066775	-	protein_coding	firl
FBgn0053307	1010.98028776145	-1.29014735261273	0.137625839501941	-9.37431050216797	6.96293672033916e-21	1.20472731135308e-18	chr2L	13839261	13841520	-	protein_coding	CG33307
FBgn0260011	88.6331651653228	1.81572338656553	0.194385146329657	9.34085459125693	9.55596625854804e-21	1.62095419809214e-18	chr2L	14047581	14048863	+	protein_coding	NimC4
FBgn0001137	453.066330601041	-1.25241339332357	0.134178700870013	-9.33392099642449	1.02025102510823e-20	1.69734454196371e-18	chr2L	8431085	8433598	-	protein_coding	grk
FBgn0259715	786.375853648377	-1.54827053411107	0.166417354386635	-9.30354012547273	1.35845625974164e-20	2.21735945340093e-18	chr2L	6395852	6397249	-	protein_coding	CG42369
FBgn0003137	4514.48884653499	0.864667460563379	0.093427836856571	9.25492326115613	2.14384351328447e-20	3.43451670989332e-18	chr3R	28520664	28540324	-	protein_coding	Ppn
FBgn0261584	177.84495299026	-1.7033412339463	0.185446714564917	-9.1850709673804	4.11256047254131e-20	6.46868375417362e-18	chr2R	22941876	22945147	+	protein_coding	CG42694
FBgn0001225	408.564940985345	1.20992591299099	0.13193398070566	9.17069208796398	4.69991768934423e-20	7.26053355902089e-18	chr3L	9376417	9377427	-	protein_coding	Hsp26
FBgn0031322	393.266829304385	-1.30853970934271	0.142853579350138	-9.16000645762924	5.18942118646056e-20	7.87608468141584e-18	chr2L	1185756	1196807	+	protein_coding	CG5001
FBgn0024315	91.0209207850807	-1.78552526202492	0.195038900309259	-9.15471354275347	5.45022155610366e-20	8.12928735894014e-18	chr2R	16655322	16667675	-	protein_coding	Picot
FBgn0039464	829.742718107917	0.993489153233506	0.108957619423988	9.11812462942616	7.64354867179365e-20	1.12075151796079e-17	chr3R	26949691	26958491	-	protein_coding	CG6330
FBgn0040271	1095.87445796674	0.908949022224695	0.100211460366945	9.07031011120277	1.18678756287528e-19	1.71114986773901e-17	chr3R	16310541	16339575	-	protein_coding	Sulf1
FBgn0051523	4689.99565752754	-0.754890110259088	0.0848761033488722	-8.89402411838124	5.8934896672476e-19	8.3581277231736e-17	chr3R	4465420	4479207	-	protein_coding	CG31523
FBgn0033367	15104.0088463228	1.25379694398423	0.141213855525083	8.87871051549561	6.76398864328551e-19	9.4379460892037e-17	chr2R	9042260	9044709	-	protein_coding	PPO2
FBgn0002868	111.797258434109	-1.66083889783818	0.188200243821222	-8.82484987328643	1.09606744773776e-18	1.5050919825999e-16	chr3R	9783406	9784370	-	protein_coding	MtnA
FBgn0000406	263.086148623517	-1.64818798401775	0.188242582544319	-8.75565964799547	2.02913182911258e-18	2.74281553963327e-16	chr2L	16788773	16790721	-	protein_coding	Cyt-b5-r
FBgn0039257	568.174632091314	-1.01807431058126	0.11738027817453	-8.67329952198197	4.1977587291497e-18	5.58689396398062e-16	chr3R	24984383	25022867	+	protein_coding	tnc
FBgn0036985	1903.93933139776	-1.20371907956327	0.139218419938369	-8.64626304548023	5.32133704519667e-18	6.97498284515097e-16	chr3L	20413603	20424309	+	protein_coding	zye
FBgn0261800	37071.3338157107	-0.727402450788839	0.0841875627165345	-8.64026023936641	5.60851214019523e-18	7.24167739176551e-16	chr2L	7811437	7820771	+	protein_coding	LanB1
FBgn0265276	151.2594530435	1.53518830951305	0.177874851011279	8.63072154824014	6.09661395054546e-18	7.75614813031894e-16	chr3R	11765037	11779128	-	protein_coding	l(3)neo38
FBgn0001258	1507.25670392075	0.8573768379866	0.0998003604190807	8.59091925506392	8.62762504998979e-18	1.081704120398e-15	chr3L	6259104	6262694	-	protein_coding	Ldh
FBgn0030237	1966.72530106885	-0.895733984323665	0.104485433135581	-8.57281208913934	1.0098821315479e-17	1.24807004571727e-15	chrX	10842204	10842995	+	protein_coding	CG15209
FBgn0262057	726.434535497277	-0.933872306220208	0.109660825434344	-8.51600653671291	1.65149515341795e-17	2.01226543270685e-15	chr3L	20317189	20320116	+	protein_coding	Spn77Ba
FBgn0031449	951.991001671026	-0.842177750175324	0.0999488751514536	-8.4260853251141	3.57421593017541e-17	4.29451972388159e-15	chr2L	2725673	2739830	+	protein_coding	CG31689
FBgn0063498	325.89377303059	-1.22028683983134	0.145021473835454	-8.41452515657034	3.94489612848127e-17	4.67497211061527e-15	chr2R	18399485	18400375	+	protein_coding	GstE2
FBgn0032004	957.687599856007	-1.07963950080586	0.129077208496388	-8.36429229747456	6.04768222795931e-17	7.07006742622648e-15	chr2L	8216850	8218017	-	protein_coding	CG8292
FBgn0267992	391.831546479157	-1.51539741334996	0.181500693226444	-8.34926515382128	6.86889777561434e-17	7.92304462091195e-15	chr2L	500872	502236	-	ncRNA	lncRNA:CR46259
FBgn0033635	2555.50758920745	1.07745907537145	0.129092456132206	8.34641393969607	7.03668738293604e-17	8.00978717760259e-15	chr2R	11436242	11442216	+	protein_coding	Prip
FBgn0031327	754.77772544817	1.10542569831431	0.132806414502727	8.32358664642372	8.5340841033792e-17	9.58809890627708e-15	chr2L	1240035	1243018	+	protein_coding	CG5397
FBgn0051642	105.814150926438	1.55653951095152	0.188558004687062	8.2549638427433	1.51948233598442e-16	1.68526175494888e-14	chr2L	6118511	6120522	+	protein_coding	CG31642
FBgn0030041	83.4773128346127	-1.80878654057447	0.21976158045365	-8.23067679455444	1.86158629847544e-16	2.03855481874823e-14	chrX	8467442	8469012	-	protein_coding	CG12116
FBgn0037239	762.656540125849	-0.862530076640431	0.104979815194982	-8.21615160055704	2.10137781763333e-16	2.27237743754324e-14	chr3R	4378599	4381210	+	protein_coding	Sfxn1-3
FBgn0039479	172.821357539012	1.29482305466734	0.158363452152786	8.17627449430767	2.92754649311375e-16	3.12669193974408e-14	chr3R	27075869	27082818	+	protein_coding	CG14257
FBgn0051038	694.926931057245	-0.915175635080712	0.112316315737423	-8.14819849700412	3.69385676818516e-16	3.89701889043534e-14	chr3R	29877058	29903231	+	protein_coding	CG31038
FBgn0263232	301.536196788606	1.16270197858099	0.143178489628318	8.12064704411457	4.63704772518732e-16	4.83314456272236e-14	chr3L	13965202	13973067	+	protein_coding	Nxf3
FBgn0037153	131.082272175729	1.43566774181307	0.17759310055845	8.08402881248508	6.26615180668755e-16	6.453390390435e-14	chr3L	22136089	22247702	+	protein_coding	olf413
FBgn0031805	3023.09177383706	-0.869194684948518	0.107632871899869	-8.07555042995726	6.7172938279991e-16	6.83662457717884e-14	chr2L	6367881	6370190	+	protein_coding	Nepl4
FBgn0024491	870.622745651466	0.974297565337648	0.121429777323688	8.02354732760914	1.02734378926842e-15	1.03343617685595e-13	chr3R	16186155	16189564	-	protein_coding	Bin1
FBgn0034885	161.413779412121	1.33893941288017	0.16948108467503	7.90022919340824	2.78391052175306e-15	2.76823102571101e-13	chr2R	23607591	23614710	-	protein_coding	Eglp4
FBgn0052521	2940.91502601438	-0.809009255846912	0.102635937408223	-7.88231954884545	3.21358915132178e-15	3.15917724410054e-13	chrX	21205309	21281171	-	protein_coding	CG32521
FBgn0034389	114.90357820749	-1.53727223152667	0.196525064255738	-7.82227059611197	5.18789397968163e-15	5.04274953013773e-13	chr2R	18761757	18774824	+	protein_coding	Mctp
FBgn0000116	643.215027620601	1.06963558502114	0.138180260276256	7.74087111200018	9.87379535659285e-15	9.49091151443164e-13	chr3L	9048780	9066027	-	protein_coding	Argk
FBgn0027580	1308.41741012392	-0.872646332170551	0.114407900148401	-7.62750064496087	2.39348610804763e-14	2.27538992535385e-12	chr2R	9850702	9861543	-	protein_coding	PCB
FBgn0051195	919.475457472842	0.767532657424171	0.101170063393592	7.58655902426553	3.28512738535548e-14	3.08909097942502e-12	chr3R	20757268	20762369	-	protein_coding	CG31195
FBgn0032598	320.345350065653	0.997841833820446	0.131962539646015	7.56155372954418	3.98282832517734e-14	3.70488686463539e-12	chr2L	16738849	16742610	+	protein_coding	ChLD3
FBgn0051337	946.506556433139	-0.937343354727298	0.124677851532756	-7.51812245081102	5.55684467674307e-14	5.11407056367067e-12	chr3R	13543965	13545400	-	protein_coding	CG31337
FBgn0050069	1308.74586897614	-0.836193191733426	0.113323976773962	-7.3787843979506	1.59741265295247e-13	1.45465440638861e-11	chr2R	14185203	14198368	+	protein_coding	CG30069
FBgn0013763	28071.918814862	-0.66528914596182	0.0903084474560827	-7.36685398434462	1.74701649909722e-13	1.57431663892605e-11	chr2R	16691021	16693751	+	protein_coding	Idgf6
FBgn0034638	1759.16815971935	-0.861724384914935	0.117173996895658	-7.35422881991718	1.92032532734232e-13	1.71265303163283e-11	chr2R	21605675	21608125	-	protein_coding	CG10433
FBgn0261560	1799.02232933725	-0.84443739038533	0.115565379470063	-7.30701006008532	2.73152114618164e-13	2.41126422812422e-11	chr2L	3478433	3479612	+	protein_coding	Thor
FBgn0023549	188.177773216398	-1.27281783821612	0.175005065320197	-7.27303427410695	3.51501090902882e-13	3.07155145192003e-11	chrX	2189187	2205373	+	protein_coding	Mct1
FBgn0040398	4097.27860492211	-0.784549667247779	0.108563281834707	-7.22665761378044	4.95026037647596e-13	4.28247025168936e-11	chrX	1051524	1052631	+	protein_coding	CG14629
FBgn0036373	3781.40411583282	-0.957591714017828	0.132621354719646	-7.22049413567012	5.1799003850937e-13	4.43676418133125e-11	chr3L	13486796	13502492	+	protein_coding	Tgi
FBgn0036299	643.197204702289	0.825373329586081	0.114353630781589	7.21772735981168	5.28635660907774e-13	4.48355598285603e-11	chr3L	12530435	12533724	-	protein_coding	Tsf2
FBgn0004369	784.03180300416	-0.801610405137401	0.111339991389395	-7.19966289860655	6.03616037197218e-13	5.06978867746906e-11	chr3R	29377645	29487131	+	protein_coding	Ptp99A
FBgn0036684	975.889794975767	-0.797578674976592	0.111045989941794	-7.18241762169578	6.84893304355541e-13	5.69712689998056e-11	chr3L	16994716	17012565	-	protein_coding	CG3764
FBgn0040388	1476.68610889789	-0.930558136638141	0.129889078206021	-7.16425237202897	7.82122040501411e-13	6.44394073559782e-11	chrX	2444166	2470043	-	protein_coding	boi
FBgn0022160	1304.2754155394	-0.877857693641948	0.122732872720679	-7.15258817122137	8.51567977574576e-13	6.94991940943175e-11	chr2R	15857751	15862755	-	protein_coding	Gpo1
FBgn0051431	2335.62727795675	-0.697364944062289	0.0975309045174608	-7.15019457178766	8.66549846494629e-13	7.00609600189255e-11	chr3R	21870680	21873640	+	protein_coding	CG31431
FBgn0261284	51.4229233597556	1.55016451807399	0.217832232142389	7.11632297400648	1.10844383610739e-12	8.87884039459723e-11	chrX	6986485	6987188	+	protein_coding	bou
FBgn0035968	288.554844580581	0.988539299114895	0.139174806513306	7.10286095508516	1.22200336873497e-12	9.69867077332681e-11	chr3L	9203064	9208853	-	protein_coding	Slc45-1
FBgn0052625	150.210306514425	1.28952134374477	0.181678116373178	7.09783527860898	1.26726094753451e-12	9.96643132465548e-11	chrX	13756163	13756826	-	protein_coding	CG32625
FBgn0038528	155.784873264201	1.19951651967006	0.16926490130757	7.0866228639476	1.37424213592988e-12	1.07104222684049e-10	chr3R	17619099	17619688	+	protein_coding	CG14326
FBgn0037683	1454.77595585556	-0.818578600348633	0.115563209270616	-7.08338411087005	1.40676041812745e-12	1.0865968193947e-10	chr3R	9363304	9364838	+	protein_coding	CG18473
FBgn0030805	335.781015861799	0.902312539799872	0.127982669775064	7.05027127020972	1.78569320531555e-12	1.36708247072432e-10	chrX	16938243	16940873	-	protein_coding	wus
FBgn0031359	657.531575565407	-0.811298406924416	0.115108697153361	-7.04810693707626	1.8136823865178e-12	1.37633037945311e-10	chr2L	1716243	1724388	-	protein_coding	Rim2
FBgn0050463	43.1612480103141	1.58309828245351	0.224799745942889	7.0422601049367	1.89146310878157e-12	1.42287368296255e-10	chr2R	16673234	16732916	-	protein_coding	Pgant9
FBgn0028514	567.337262289506	-0.9176129179475	0.130393072981663	-7.0372827096156	1.96024880922978e-12	1.461906245573e-10	chr2L	15923394	15926287	+	protein_coding	CG4793
FBgn0004396	2390.58517297746	0.99884244973827	0.14203143371975	7.03254500485533	2.02799860288481e-12	1.49950563363731e-10	chr3L	15535394	15553214	+	protein_coding	CrebA
FBgn0053516	706.839090739559	-0.803315230021102	0.114542386612835	-7.01325730828704	2.32832675794665e-12	1.70697921889801e-10	chr2L	2058789	2109878	-	protein_coding	dpr3
FBgn0000567	253.932072621603	-1.08652036164523	0.155096531986147	-7.00544588413025	2.4620048387721e-12	1.78981545043844e-10	chr3L	17558671	17619325	-	protein_coding	Eip74EF
FBgn0034438	73.6477679784184	1.40492230971529	0.20091038898903	6.99278079538236	2.69490409549578e-12	1.94280127751117e-10	chr2R	19367247	19373702	-	protein_coding	CG9416
FBgn0038198	62.108502781896	1.52384613926662	0.218684451579458	6.96824181262351	3.20926279492246e-12	2.29449028420448e-10	chr3R	14089516	14092425	+	protein_coding	Npc2b
FBgn0005593	33109.9137230787	-0.652795778088873	0.0940420113421011	-6.94153356327277	3.87866050804863e-12	2.75035180779743e-10	chr2L	10201003	10202321	+	protein_coding	RpL7
FBgn0032956	2852.49745246596	0.610216232694474	0.0879960457487502	6.93458697492825	4.07409691456676e-12	2.86544816324529e-10	chr2L	21658734	21663698	+	protein_coding	Cul2
FBgn0003502	1187.71003997491	0.681971320580685	0.0988604788056301	6.89832103606853	5.26207252604348e-12	3.6711443082905e-10	chr2L	8258372	8301079	-	protein_coding	Btk29A
FBgn0031374	2043.03737760421	-0.758969904644948	0.110256226598397	-6.88369199691059	5.83209020322312e-12	4.03627298784666e-10	chr2L	1884621	1944289	+	protein_coding	Wdr62
FBgn0043364	1143.9544715076	-1.0080696082995	0.146669315479738	-6.87307774637266	6.28312992996934e-12	4.31391722414006e-10	chr2L	476445	479688	-	protein_coding	cbt
FBgn0039714	2283.44380986059	-0.644122542955825	0.0937344100497358	-6.87178318628187	6.34042723978139e-12	4.31897921664164e-10	chr3R	29863700	29868895	-	protein_coding	Zip99C
FBgn0033426	365.363842027755	-0.924015357964073	0.134637362489572	-6.86299360651573	6.74322458132221e-12	4.55747155101707e-10	chr2R	9577426	9581847	+	protein_coding	CG1814
FBgn0028990	1327.84635438278	-0.719326363523211	0.105316121631303	-6.83016381899699	8.48177198173670e-12	5.68804724139568e-10	chr2L	6671064	6673347	-	protein_coding	Spn27A
FBgn0027515	443.036119142957	0.823262549320023	0.121657089066573	6.76707420534711	1.31412686568744e-11	8.67825306493287e-10	chr2L	7821150	7825350	+	protein_coding	CG7115
FBgn0004893	469.445955374178	-0.807778620374174	0.119356474999456	-6.76778214485518	1.30771463684588e-11	8.67825306493287e-10	chr2L	3771699	3784121	+	protein_coding	bowl
FBgn0037646	40.5200264626335	-1.55336139504052	0.229798319964354	-6.75967254800414	1.38303960295974e-11	9.06414818576116e-10	chr3R	8980859	8982793	+	protein_coding	CAHbeta
FBgn0034718	488.368539791061	1.14240952177154	0.169038044432945	6.75829826122198	1.39621882141355e-11	9.08172107071324e-10	chr2R	22298213	22311937	-	protein_coding	wdp
FBgn0086365	3431.42386097618	-0.555093571454386	0.0822128602254298	-6.75190681764756	1.45914584074615e-11	9.42020199126491e-10	chr3R	24273028	24275728	+	protein_coding	Orct2
FBgn0028327	4062.11618448947	0.598320027685034	0.0887307702000493	6.74309516682975	1.55047578479145e-11	9.93567852905991e-10	chrX	9551139	9553750	-	protein_coding	l(1)G0320
FBgn0261238	905.950750098098	0.695633860988455	0.103202155939749	6.74049737288993	1.5784535836468e-11	9.96730069498425e-10	chr3R	7094595	7124185	-	protein_coding	Alh
FBgn0031703	88.7187395957919	-1.38801391833759	0.205893685340146	-6.74141082104838	1.56855999939833e-11	9.96730069498425e-10	chr2L	5339131	5342234	-	protein_coding	CG12512
FBgn0038476	1330.67950794971	0.653465182714162	0.0971899728365879	6.72358643224314	1.77305227017876e-11	1.11149820212438e-09	chr3R	17080243	17084781	+	protein_coding	kuk
FBgn0015371	368.773642351112	-0.92207329112475	0.137603930981471	-6.70092260117852	2.07107724222987e-11	1.27977780160933e-09	chr2R	15115235	15144783	+	protein_coding	chn
FBgn0086450	5554.41812549471	-0.550930053383817	0.0822120638698581	-6.70132858184829	2.06533038496208e-11	1.27977780160933e-09	chrX	9196807	9201820	-	protein_coding	su(r)
FBgn0003076	1514.58528761402	0.653325641383702	0.097549402760103	6.69738227911434	2.12186034004276e-11	1.29269111279647e-09	chr3L	16126017	16128531	-	protein_coding	Pgm1
FBgn0259749	1379.07500882567	-0.665590193795189	0.0993781997159697	-6.69754730612444	2.11946630253372e-11	1.29269111279647e-09	chr2L	6468537	6473904	-	protein_coding	mmy
FBgn0033065	29.7436358354011	1.5553104133391	0.233145784164999	6.67097807026349	2.54104194250888e-11	1.53724152759751e-09	chr2R	6173683	6176195	+	protein_coding	Cyp6w1
FBgn0039113	470.40127509901	0.815682511740431	0.1223864756633	6.66480922274835	2.65009371785331e-11	1.59208060785757e-09	chr3R	23760736	23763263	-	protein_coding	udt
FBgn0029801	1239.94294175484	-0.758165456981914	0.114218374880733	-6.63785890644643	3.18272291267613e-11	1.89887833914215e-09	chrX	5755573	5759751	+	protein_coding	CG15771
FBgn0043841	14976.7171075126	-0.652507318624695	0.0984690703470348	-6.62652055437369	3.43691635831842e-11	2.03649064491867e-09	chr2L	12403269	12423439	-	protein_coding	vir-1
FBgn0024984	117.679403305754	1.16848678235438	0.176703520219339	6.61269668484225	3.77381200426057e-11	2.2209012006026e-09	chrX	2187819	2188919	+	protein_coding	CG3457
FBgn0037680	433.787671171497	0.793863568201695	0.120105482773296	6.60971963869582	3.85048544282053e-11	2.23560735341211e-09	chr3R	9335169	9337459	+	protein_coding	pasi2
FBgn0028542	1161.57183491519	-0.933754126478016	0.141259952332114	-6.61018293622726	3.83845390653929e-11	2.23560735341211e-09	chr2L	13968279	13969976	-	protein_coding	NimB4
FBgn0040752	5094.89338433851	-0.800539766448398	0.121157987096746	-6.60740398244781	3.91117688644178e-11	2.25570608297386e-09	chr2R	14060455	14140902	-	protein_coding	Prosap
FBgn0266064	3270.44102679478	0.555417347319315	0.0840903507200737	6.60500690701398	3.97498811145177e-11	2.27620138918271e-09	chr3R	15141842	15147531	-	protein_coding	GlyS
FBgn0001124	1253.86350990139	0.604547583196304	0.0915412221248131	6.60410216472776	3.99933662184456e-11	2.27620138918271e-09	chr2R	16138351	16141928	+	protein_coding	Got1
FBgn0038805	745.126082058377	0.698204868055291	0.106163293364362	6.57670693823514	4.80981438150088e-11	2.71958851074275e-09	chr3R	20575244	20577010	-	protein_coding	TFAM
FBgn0004507	1809.71057208628	0.821301929584914	0.125456846603921	6.54648950469669	5.89052868275877e-11	3.30902361263286e-09	chr2L	2130812	2137296	+	protein_coding	GlyP
FBgn0036824	3111.34213085921	-0.608757874412366	0.0930862881625913	-6.53971585319918	6.16358240928138e-11	3.44007428533505e-09	chr3L	18893119	18898293	-	protein_coding	CG3902
FBgn0035150	2608.90160916783	0.543823390711332	0.0833930348561842	6.52120877539934	6.97430275650614e-11	3.86760853503427e-09	chr3L	654362	657971	+	protein_coding	Rev1
